item_id,item_name,category,style,color,season,price_range,material
92,Item_92,Accessory,Streetwear,Yellow,Winter,Medium,Denim
93,Item_93,Dress,Formal,Yellow,All,Medium,Polyester
94,Item_94,Bottom,Formal,Black,Fall,Medium,Linen
95,Item_95,Accessory,Casual,Red,Spring,Low,Cotton
96,Item_96,Outerwear,Sporty,Purple,All,Medium,Polyester
97,Item_97,Accessory,Bohemian,Green,Winter,Medium,Synthetic
98,Item_98,Top,Streetwear,Yellow,Summer,Medium,Cotton
99,Item_99,Dress,Streetwear,Green,Summer,High,Synthetic
100,Item_100,Outerwear,Streetwear,Blue,All,Medium,Denim
101,Item_101,Footwear,Formal,Blue,Summer,Low,Cotton
102,Item_102,Accessory,Sporty,Blue,Summer,Low,Denim
103,Item_103,Footwear,Casual,Yellow,Fall,High,Polyester
104,Item_104,Bottom,Sporty,Red,Winter,Medium,Synthetic
105,Item_105,Footwear,Bohemian,Red,All,Medium,Linen
106,Item_106,Outerwear,Bohemian,Blue,Spring,Medium,Silk
107,Item_107,Dress,Casual,Red,Spring,Low,Polyester
108,Item_108,Bottom,Formal,Grey,Winter,High,Denim
109,Item_109,Outerwear,Casual,Blue,Spring,Low,Linen
110,Item_110,Dress,Bohemian,Purple,Summer,Medium,Wool
111,Item_111,Outerwear,Formal,Blue,Fall,Medium,Wool
112,Item_112,Footwear,Sporty,Yellow,All,Medium,Wool
113,Item_113,Outerwear,Bohemian,Black,All,Medium,Synthetic
114,Item_114,Bottom,Formal,Purple,Summer,Medium,Polyester
115,Item_115,Outerwear,Formal,Yellow,Winter,Medium,Cotton
116,Item_116,Top,Streetwear,Brown,Fall,Medium,Silk
117,Item_117,Footwear,Sporty,Blue,Spring,Low,Linen
118,Item_118,Outerwear,Formal,White,All,Medium,Silk
119,Item_119,Dress,Casual,Blue,All,Medium,Linen
120,Item_120,Footwear,Sporty,Blue,Winter,Medium,Synthetic
121,Item_121,Accessory,Sporty,White,Fall,Medium,Polyester
122,Item_122,Dress,Bohemian,Red,Spring,Medium,Denim
123,Item_123,Bottom,Sporty,Grey,All,Low,Polyester
124,Item_124,Accessory,Sporty,Pink,All,Medium,Wool
125,Item_125,Accessory,Streetwear,Purple,Spring,Low,Denim
126,Item_126,Accessory,Sporty,Brown,Fall,Medium,Silk
127,Item_127,Top,Formal,Grey,Fall,Medium,Polyester
128,Item_128,Outerwear,Casual,Pink,Fall,Low,Cotton
129,Item_129,Footwear,Streetwear,Yellow,All,Medium,Cotton
130,Item_130,Outerwear,Streetwear,Blue,Summer,High,Synthetic
131,Item_131,Outerwear,Streetwear,Purple,All,Medium,Silk
132,Item_132,Footwear,Streetwear,Red,Winter,High,Denim
133,Item_133,Accessory,Bohemian,Grey,Winter,High,Wool
134,Item_134,Accessory,Streetwear,White,All,Medium,Cotton
135,Item_135,Top,Bohemian,Yellow,All,High,Cotton
136,Item_136,Top,Bohemian,Black,Spring,Medium,Polyester
137,Item_137,Bottom,Sporty,Pink,Fall,Medium,Linen
138,Item_138,Footwear,Casual,Red,Spring,High,Synthetic
139,Item_139,Footwear,Sporty,Black,Winter,Medium,Silk
140,Item_140,Dress,Bohemian,Green,Winter,Low,Cotton
141,Item_141,Dress,Sporty,Green,Summer,Low,Polyester
142,Item_142,Dress,Formal,Yellow,Fall,Medium,Denim
143,Item_143,Top,Streetwear,Grey,Fall,Medium,Linen
144,Item_144,Bottom,Streetwear,Red,Winter,Low,Cotton
145,Item_145,Bottom,Bohemian,Pink,Spring,High,Synthetic
146,Item_146,Accessory,Sporty,Red,All,Medium,Silk
147,Item_147,Outerwear,Formal,White,Fall,Medium,Polyester
148,Item_148,Bottom,Formal,Grey,All,Low,Denim
149,Item_149,Dress,Formal,Green,Winter,Low,Polyester
150,Item_150,Footwear,Bohemian,Purple,Summer,Low,Wool
151,Item_151,Outerwear,Sporty,Red,Winter,Medium,Silk
152,Item_152,Accessory,Formal,White,All,Medium,Silk
153,Item_153,Top,Formal,Pink,Winter,Medium,Linen
154,Item_154,Bottom,Sporty,Green,Fall,Low,Cotton
155,Item_155,Accessory,Sporty,Brown,All,High,Linen
156,Item_156,Footwear,Streetwear,Pink,All,Low,Polyester
157,Item_157,Dress,Casual,Brown,Summer,Low,Denim
158,Item_158,Top,Casual,Purple,Fall,High,Cotton
159,Item_159,Top,Formal,Purple,Spring,Low,Silk
160,Item_160,Bottom,Sporty,Green,Summer,Medium,Polyester
161,Item_161,Footwear,Streetwear,Yellow,Fall,Low,Denim
162,Item_162,Dress,Bohemian,Grey,Spring,Low,Linen
163,Item_163,Dress,Casual,Purple,All,Medium,Silk
164,Item_164,Dress,Casual,Yellow,Summer,Low,Synthetic
165,Item_165,Dress,Sporty,Red,All,Low,Denim
166,Item_166,Bottom,Bohemian,White,All,Medium,Linen
167,Item_167,Accessory,Casual,Yellow,All,Medium,Polyester
168,Item_168,Accessory,Streetwear,Brown,Fall,High,Denim
169,Item_169,Accessory,Casual,Grey,Spring,High,Cotton
170,Item_170,Bottom,Sporty,Blue,Fall,Medium,Cotton
171,Item_171,Footwear,Sporty,Green,All,Low,Synthetic
172,Item_172,Outerwear,Bohemian,Yellow,Summer,Medium,Polyester
173,Item_173,Bottom,Casual,Pink,All,Medium,Linen
174,Item_174,Dress,Bohemian,White,Spring,Low,Silk
175,Item_175,Accessory,Casual,Yellow,Fall,Medium,Wool
176,Item_176,Accessory,Formal,White,Spring,High,Wool
177,Item_177,Footwear,Casual,Grey,Fall,Medium,Wool
178,Item_178,Dress,Sporty,Pink,Spring,Medium,Silk
179,Item_179,Bottom,Sporty,White,Spring,Low,Synthetic
180,Item_180,Accessory,Formal,Red,Fall,Medium,Cotton
181,Item_181,Footwear,Casual,Pink,Fall,Low,Cotton
182,Item_182,Dress,Casual,Brown,Fall,High,Linen
183,Item_183,Accessory,Sporty,Blue,Winter,Low,Linen
184,Item_184,Outerwear,Formal,Purple,Spring,High,Cotton
185,Item_185,Top,Sporty,Purple,Winter,Medium,Linen
186,Item_186,Top,Formal,Grey,Winter,Medium,Polyester
187,Item_187,Accessory,Sporty,Brown,All,High,Linen
188,Item_188,Dress,Streetwear,Grey,Winter,Low,Cotton
189,Item_189,Accessory,Casual,Red,Winter,Low,Linen
190,Item_190,Top,Bohemian,Red,Fall,High,Cotton
191,Item_191,Accessory,Streetwear,Pink,Fall,Medium,Cotton
192,Item_192,Accessory,Sporty,Red,Summer,Medium,Synthetic
193,Item_193,Outerwear,Formal,Purple,Spring,Low,Synthetic
194,Item_194,Accessory,Bohemian,Purple,Winter,Medium,Wool
195,Item_195,Outerwear,Formal,Pink,Winter,Low,Denim
196,Item_196,Dress,Formal,Brown,Spring,Medium,Cotton
197,Item_197,Outerwear,Casual,Brown,Fall,Medium,Denim
198,Item_198,Top,Sporty,Brown,Fall,Medium,Linen
199,Item_199,Dress,Casual,Purple,Spring,Low,Synthetic
200,Item_200,Accessory,Formal,Purple,Spring,Medium,Cotton
201,Item_201,Top,Casual,Yellow,Fall,Medium,Wool
202,Item_202,Outerwear,Streetwear,Black,Spring,Medium,Wool
203,Item_203,Outerwear,Formal,Grey,Fall,Medium,Linen
204,Item_204,Footwear,Formal,Yellow,Spring,Low,Linen
205,Item_205,Bottom,Streetwear,Pink,Fall,High,Linen
206,Item_206,Accessory,Formal,White,Summer,Medium,Denim
207,Item_207,Bottom,Bohemian,Blue,Fall,Medium,Synthetic
208,Item_208,Dress,Bohemian,Yellow,Fall,Low,Synthetic
209,Item_209,Top,Sporty,Blue,Winter,Medium,Wool
210,Item_210,Bottom,Sporty,Green,Fall,Low,Synthetic
211,Item_211,Dress,Casual,Red,Spring,High,Polyester
212,Item_212,Outerwear,Casual,Green,All,Medium,Silk
213,Item_213,Bottom,Streetwear,Grey,Spring,Low,Synthetic
214,Item_214,Top,Streetwear,Red,Winter,Low,Silk
215,Item_215,Footwear,Formal,Brown,Spring,High,Linen
216,Item_216,Footwear,Sporty,Blue,Summer,Medium,Cotton
217,Item_217,Bottom,Sporty,Pink,All,Low,Wool
218,Item_218,Footwear,Sporty,Pink,All,High,Silk
219,Item_219,Dress,Sporty,Black,Winter,Low,Denim
220,Item_220,Accessory,Casual,Blue,All,Medium,Denim
221,Item_221,Top,Bohemian,Purple,Fall,Medium,Linen
222,Item_222,Outerwear,Streetwear,Black,Winter,High,Denim
223,Item_223,Top,Streetwear,Grey,Summer,Medium,Cotton
224,Item_224,Outerwear,Sporty,Purple,All,Medium,Silk
225,Item_225,Footwear,Sporty,Green,All,Medium,Silk
226,Item_226,Dress,Casual,Red,Winter,Medium,Silk
227,Item_227,Outerwear,Casual,Blue,All,Low,Denim
228,Item_228,Footwear,Streetwear,Pink,All,Medium,Linen
229,Item_229,Outerwear,Sporty,Grey,Summer,Medium,Denim
230,Item_230,Bottom,Sporty,Grey,Summer,Medium,Cotton
231,Item_231,Top,Streetwear,Black,Winter,Medium,Linen
232,Item_232,Accessory,Casual,Pink,All,Medium,Polyester
233,Item_233,Accessory,Streetwear,Green,Spring,Medium,Silk
234,Item_234,Dress,Casual,White,Winter,Medium,Cotton
235,Item_235,Footwear,Casual,Grey,Summer,High,Denim
236,Item_236,Dress,Casual,White,Spring,Medium,Polyester
237,Item_237,Top,Sporty,Yellow,All,Medium,Wool
238,Item_238,Accessory,Streetwear,Green,Winter,Low,Polyester
239,Item_239,Outerwear,Casual,Yellow,Winter,Low,Synthetic
240,Item_240,Outerwear,Bohemian,Purple,Summer,Medium,Cotton
241,Item_241,Dress,Casual,Grey,Fall,Low,Polyester
242,Item_242,Outerwear,Casual,Brown,Fall,High,Denim
243,Item_243,Outerwear,Casual,Blue,Fall,High,Polyester
244,Item_244,Outerwear,Formal,Blue,Winter,Medium,Denim
245,Item_245,Bottom,Bohemian,Pink,Summer,Medium,Polyester
246,Item_246,Footwear,Sporty,Blue,Summer,Medium,Cotton
247,Item_247,Footwear,Streetwear,Purple,Fall,Medium,Wool
248,Item_248,Accessory,Streetwear,Green,Spring,Medium,Silk
249,Item_249,Top,Streetwear,Purple,Fall,Low,Polyester
250,Item_250,Outerwear,Sporty,Red,Winter,High,Wool
251,Item_251,Dress,Casual,Brown,Spring,Medium,Polyester
252,Item_252,Outerwear,Bohemian,Grey,Summer,Low,Linen
253,Item_253,Top,Streetwear,Brown,All,Medium,Wool
254,Item_254,Outerwear,Formal,Yellow,Spring,Medium,Denim
255,Item_255,Bottom,Formal,White,Summer,Low,Wool
256,Item_256,Top,Bohemian,Grey,Spring,Low,Silk
257,Item_257,Footwear,Streetwear,Black,Fall,Low,Wool
258,Item_258,Footwear,Casual,Green,Spring,High,Synthetic
259,Item_259,Bottom,Streetwear,White,Spring,Low,Silk
260,Item_260,Footwear,Casual,Pink,Spring,Medium,Silk
261,Item_261,Accessory,Streetwear,Green,Winter,Low,Wool
262,Item_262,Bottom,Formal,Purple,Winter,Medium,Synthetic
263,Item_263,Footwear,Sporty,Blue,Fall,Medium,Silk
264,Item_264,Footwear,Bohemian,Pink,All,High,Silk
265,Item_265,Accessory,Casual,Blue,Winter,Medium,Linen
266,Item_266,Outerwear,Sporty,Yellow,All,Medium,Denim
267,Item_267,Top,Casual,Red,Winter,Medium,Synthetic
268,Item_268,Footwear,Bohemian,Purple,Summer,Medium,Cotton
269,Item_269,Top,Sporty,White,Summer,Low,Denim
270,Item_270,Top,Sporty,Brown,Spring,Medium,Cotton
271,Item_271,Footwear,Bohemian,Yellow,All,Low,Cotton
272,Item_272,Top,Bohemian,Green,Spring,High,Denim
273,Item_273,Accessory,Casual,Green,Spring,Medium,Silk
274,Item_274,Bottom,Sporty,Grey,Winter,Medium,Linen
275,Item_275,Accessory,Bohemian,Green,Winter,Medium,Synthetic
276,Item_276,Dress,Casual,Grey,Spring,Medium,Denim
277,Item_277,Bottom,Streetwear,Grey,Winter,Medium,Silk
278,Item_278,Footwear,Bohemian,Black,Summer,Medium,Denim
279,Item_279,Bottom,Sporty,Red,Summer,Low,Denim
280,Item_280,Accessory,Streetwear,Brown,All,Low,Linen
281,Item_281,Dress,Bohemian,White,Summer,Low,Polyester
282,Item_282,Bottom,Formal,Red,Spring,Low,Wool
283,Item_283,Top,Sporty,Red,Fall,High,Denim
284,Item_284,Footwear,Sporty,Black,Winter,Medium,Wool
285,Item_285,Top,Casual,Purple,Spring,Low,Silk
286,Item_286,Top,Formal,Purple,Winter,Low,Polyester
287,Item_287,Footwear,Bohemian,Pink,All,Medium,Linen
288,Item_288,Footwear,Formal,Black,Spring,Medium,Polyester
289,Item_289,Outerwear,Bohemian,Green,Spring,Medium,Cotton
290,Item_290,Dress,Casual,Grey,Spring,Medium,Synthetic
291,Item_291,Top,Streetwear,Red,All,High,Synthetic
292,Item_292,Accessory,Formal,Green,Spring,Low,Linen
293,Item_293,Top,Sporty,Purple,Winter,Medium,Synthetic
294,Item_294,Footwear,Bohemian,Blue,Fall,High,Linen
295,Item_295,Footwear,Formal,Green,Spring,Low,Wool
296,Item_296,Bottom,Bohemian,Blue,All,Medium,Polyester
297,Item_297,Top,Formal,Red,All,Low,Silk
298,Item_298,Top,Sporty,Blue,Spring,Medium,Cotton
299,Item_299,Footwear,Bohemian,Green,All,Low,Polyester
300,Item_300,Accessory,Bohemian,White,Summer,High,Silk
301,Item_301,Accessory,Streetwear,Brown,All,High,Wool
302,Item_302,Top,Casual,Blue,Fall,High,Silk
303,Item_303,Dress,Formal,Purple,Summer,Medium,Silk
304,Item_304,Outerwear,Sporty,Black,Winter,High,Synthetic
305,Item_305,Footwear,Streetwear,Green,Summer,Medium,Synthetic
306,Item_306,Footwear,Streetwear,Red,Fall,Medium,Silk
307,Item_307,Top,Casual,White,Summer,Low,Denim
308,Item_308,Accessory,Sporty,Grey,Spring,Medium,Linen
309,Item_309,Outerwear,Formal,Brown,All,Medium,Polyester
310,Item_310,Outerwear,Bohemian,Yellow,Spring,Low,Silk
311,Item_311,Accessory,Casual,Grey,Spring,Medium,Cotton
312,Item_312,Footwear,Bohemian,White,Spring,High,Denim
313,Item_313,Footwear,Streetwear,Yellow,Summer,Medium,Silk
314,Item_314,Footwear,Bohemian,Black,Winter,Medium,Silk
315,Item_315,Dress,Formal,Purple,All,High,Linen
316,Item_316,Top,Formal,Blue,Summer,Low,Polyester
317,Item_317,Dress,Bohemian,Pink,Spring,High,Synthetic
318,Item_318,Footwear,Bohemian,Black,Fall,Medium,Synthetic
319,Item_319,Outerwear,Casual,Yellow,Fall,Medium,Denim
320,Item_320,Top,Formal,Pink,Spring,Low,Silk
321,Item_321,Top,Bohemian,Blue,Winter,Low,Silk
322,Item_322,Accessory,Sporty,Grey,All,Medium,Wool
323,Item_323,Footwear,Casual,Grey,Summer,Medium,Cotton
324,Item_324,Footwear,Casual,Green,Winter,Medium,Cotton
325,Item_325,Footwear,Casual,White,Fall,Medium,Polyester
326,Item_326,Footwear,Casual,White,Spring,Medium,Synthetic
327,Item_327,Footwear,Bohemian,Green,Summer,Medium,Denim
328,Item_328,Footwear,Streetwear,Red,Winter,High,Linen
329,Item_329,Top,Sporty,Red,Winter,Medium,Linen
330,Item_330,Dress,Streetwear,Green,Winter,High,Silk
331,Item_331,Outerwear,Streetwear,Black,Summer,Low,Synthetic
332,Item_332,Footwear,Bohemian,Pink,All,Medium,Synthetic
333,Item_333,Outerwear,Casual,Blue,Summer,Medium,Linen
334,Item_334,Accessory,Casual,Purple,Spring,High,Denim
335,Item_335,Top,Bohemian,Purple,Summer,Medium,Polyester
336,Item_336,Outerwear,Bohemian,Grey,Winter,Low,Synthetic
337,Item_337,Top,Formal,Brown,All,Medium,Wool
338,Item_338,Bottom,Casual,Grey,All,Low,Polyester
339,Item_339,Dress,Sporty,White,Spring,Low,Cotton
340,Item_340,Bottom,Formal,Pink,Spring,Medium,Synthetic
341,Item_341,Top,Streetwear,Red,Fall,High,Wool
342,Item_342,Accessory,Casual,Green,Fall,Low,Silk
343,Item_343,Bottom,Bohemian,Purple,Fall,Low,Polyester
344,Item_344,Top,Bohemian,Green,Summer,High,Denim
345,Item_345,Bottom,Bohemian,Brown,All,Medium,Denim
346,Item_346,Top,Casual,White,Spring,High,Cotton
347,Item_347,Dress,Sporty,White,Fall,Low,Cotton
348,Item_348,Accessory,Bohemian,Blue,Spring,Medium,Linen
349,Item_349,Dress,Casual,Green,Fall,Low,Cotton
350,Item_350,Dress,Streetwear,Red,Summer,High,Synthetic
351,Item_351,Top,Formal,Purple,Summer,High,Synthetic
352,Item_352,Outerwear,Casual,Purple,Winter,High,Synthetic
353,Item_353,Bottom,Casual,Brown,Spring,Low,Synthetic
354,Item_354,Bottom,Bohemian,Blue,Winter,High,Cotton
355,Item_355,Bottom,Formal,Black,Summer,High,Silk
356,Item_356,Accessory,Formal,Green,Summer,Medium,Wool
357,Item_357,Bottom,Bohemian,Grey,Spring,Medium,Linen
358,Item_358,Dress,Sporty,Black,Winter,High,Cotton
359,Item_359,Outerwear,Casual,Black,Winter,Medium,Polyester
360,Item_360,Bottom,Bohemian,Yellow,Winter,Low,Silk
361,Item_361,Outerwear,Sporty,Pink,Spring,High,Wool
362,Item_362,Top,Bohemian,Grey,Spring,Medium,Silk
363,Item_363,Top,Streetwear,Grey,Spring,High,Denim
364,Item_364,Accessory,Sporty,Blue,All,Medium,Silk
365,Item_365,Bottom,Sporty,Red,Summer,Low,Linen
366,Item_366,Footwear,Formal,Brown,All,Medium,Synthetic
367,Item_367,Accessory,Casual,Green,All,Medium,Silk
368,Item_368,Dress,Bohemian,Brown,Summer,Low,Denim
369,Item_369,Accessory,Bohemian,Green,Fall,Medium,Denim
370,Item_370,Bottom,Casual,Green,Fall,Low,Denim
371,Item_371,Dress,Casual,Brown,Fall,Medium,Linen
372,Item_372,Bottom,Formal,Yellow,Spring,High,Linen
373,Item_373,Dress,Casual,Blue,Spring,Medium,Silk
374,Item_374,Footwear,Streetwear,Green,Winter,Medium,Denim
375,Item_375,Footwear,Formal,Black,Winter,Medium,Cotton
376,Item_376,Accessory,Sporty,Brown,All,Medium,Polyester
377,Item_377,Top,Casual,Purple,Winter,Medium,Synthetic
378,Item_378,Accessory,Sporty,Purple,Spring,Medium,Polyester
379,Item_379,Bottom,Formal,Pink,All,High,Synthetic
380,Item_380,Footwear,Streetwear,Black,Winter,Medium,Denim
381,Item_381,Footwear,Streetwear,Red,Winter,High,Wool
382,Item_382,Accessory,Casual,White,Fall,High,Synthetic
383,Item_383,Bottom,Streetwear,Blue,Spring,Low,Silk
384,Item_384,Accessory,Bohemian,Red,All,Medium,Polyester
385,Item_385,Accessory,Formal,White,Summer,High,Linen
386,Item_386,Accessory,Streetwear,Purple,Winter,High,Linen
387,Item_387,Bottom,Formal,Black,Spring,Medium,Synthetic
388,Item_388,Top,Formal,Red,All,Medium,Cotton
389,Item_389,Footwear,Bohemian,Brown,Spring,Medium,Wool
390,Item_390,Dress,Casual,Brown,Spring,Low,Wool
391,Item_391,Bottom,Formal,Brown,All,High,Cotton
392,Item_392,Bottom,Bohemian,Blue,Fall,High,Silk
393,Item_393,Bottom,Streetwear,Black,Fall,Medium,Silk
394,Item_394,Accessory,Sporty,Black,Winter,Low,Denim
395,Item_395,Accessory,Casual,Blue,Fall,High,Synthetic
396,Item_396,Bottom,Sporty,Purple,Winter,Medium,Cotton
397,Item_397,Footwear,Bohemian,Grey,Winter,Low,Cotton
398,Item_398,Dress,Formal,Red,All,Low,Linen
399,Item_399,Top,Bohemian,Grey,Spring,Low,Synthetic
400,Item_400,Outerwear,Casual,Pink,Summer,Medium,Cotton
401,Item_401,Footwear,Casual,Grey,Summer,Low,Denim
402,Item_402,Footwear,Streetwear,White,Fall,Low,Polyester
403,Item_403,Outerwear,Bohemian,Grey,All,High,Silk
404,Item_404,Outerwear,Casual,Brown,Summer,High,Synthetic
405,Item_405,Bottom,Bohemian,Purple,Spring,Low,Denim
406,Item_406,Dress,Streetwear,Yellow,Winter,Low,Synthetic
407,Item_407,Footwear,Streetwear,Blue,Winter,Medium,Synthetic
408,Item_408,Footwear,Bohemian,Pink,All,Low,Synthetic
409,Item_409,Top,Casual,Brown,Fall,Low,Denim
410,Item_410,Outerwear,Formal,Grey,Spring,Medium,Linen
411,Item_411,Outerwear,Formal,Grey,Fall,High,Denim
412,Item_412,Footwear,Streetwear,Pink,Fall,High,Linen
413,Item_413,Outerwear,Casual,Green,All,High,Linen
414,Item_414,Bottom,Streetwear,White,Winter,Medium,Synthetic
415,Item_415,Top,Streetwear,Green,Fall,Medium,Cotton
416,Item_416,Footwear,Streetwear,Green,Fall,Medium,Denim
417,Item_417,Accessory,Streetwear,White,Spring,Medium,Polyester
418,Item_418,Top,Bohemian,Purple,Winter,Medium,Synthetic
419,Item_419,Accessory,Bohemian,Black,Fall,Medium,Wool
420,Item_420,Bottom,Casual,Green,Summer,Low,Denim
421,Item_421,Top,Casual,Yellow,Summer,Low,Synthetic
422,Item_422,Accessory,Sporty,Pink,Winter,High,Linen
423,Item_423,Outerwear,Formal,White,Winter,Medium,Polyester
424,Item_424,Footwear,Bohemian,Yellow,All,Low,Linen
425,Item_425,Top,Casual,Grey,Fall,Medium,Cotton
426,Item_426,Dress,Streetwear,Yellow,Summer,Low,Wool
427,Item_427,Footwear,Bohemian,Blue,Summer,Low,Silk
428,Item_428,Top,Formal,Blue,Winter,Low,Silk
429,Item_429,Footwear,Bohemian,Pink,Winter,Medium,Cotton
430,Item_430,Accessory,Formal,White,Spring,Low,Synthetic
431,Item_431,Top,Sporty,Blue,Spring,Medium,Cotton
432,Item_432,Top,Casual,Pink,Winter,Low,Silk
433,Item_433,Outerwear,Formal,Brown,Spring,Low,Cotton
434,Item_434,Top,Sporty,Black,Winter,High,Synthetic
435,Item_435,Dress,Bohemian,Green,Winter,Medium,Silk
436,Item_436,Outerwear,Casual,White,All,Medium,Cotton
437,Item_437,Dress,Formal,Green,Spring,Low,Silk
438,Item_438,Accessory,Formal,Yellow,Fall,Low,Polyester
